"GL","PSpace decidable"
"GL","PSpace hard in 1 variables"
"GL.2","PSpace decidable"
"GL.2","PSpace hard in 1 variables"
"GL.3","coNP decidable"
"Grz","PSpace decidable"
"Grz","PSpace hard in 1 variables"
"Grz.2","PSpace decidable"
"Grz.2","PSpace hard in 2 variables"
"Grz.3","coNP decidable"
"K","PSpace decidable"
"K","PSpace hard in 0 variables"
"K.1","PSpace hard in 1 variables"
"K.2","PSpace hard in 1 variables"
"K4","PSpace decidable"
"K4","PSpace hard in 0 variables"
"K4.1","PSpace decidable"
"K4.1","PSpace hard in 1 variables"
"K4.2","PSpace decidable"
"K4.2","PSpace hard in 1 variables"
"K4.3","coNP decidable"
"KAlt₁","coNP decidable"
"KB","PSpace decidable"
"KB","PSpace hard in 1 variables"
"KB4","coNP decidable"
"KD","PSpace decidable"
"KD","PSpace hard in 1 variables"
"KD4","PSpace decidable"
"KD4","PSpace hard in 1 variables"
"KD4.2","PSpace decidable"
"KD4.2","PSpace hard in 2 variables"
"KDAlt₁","coNP decidable"
"KDB","PSpace decidable"
"KDB","PSpace hard in 1 variables"
"KT","PSpace decidable"
"KT","PSpace hard in 1 variables"
"KTAlt₂","coNP decidable"
"KTB","PSpace decidable"
"KTB","PSpace hard in 1 variables"
"KTᵈ","coNP decidable"
"S4","PSpace decidable"
"S4","PSpace hard in 1 variables"
"S4.1","PSpace decidable"
"S4.1","PSpace hard in 1 variables"
"S4.2","PSpace decidable"
"S4.2","PSpace hard in 2 variables"
"S4.3","coNP decidable"
"S5","coNP decidable"
"Triv","coNP decidable"
"Ver","coNP decidable"
"wK4","PSpace decidable"
"wK4","PSpace hard in 0 variables"
