$A,_
M,<>p-><>(p\/q)
C,<>(p\/q)-><>p\/<>q
N,[]t
P,<>t
Ver,[]f
Contr,⊥
D,[]p-><>p
4,<><>p-><>p
4*,<>(p\/<>p)-><>p
4ᵈ,<>p-><><>p
4ʷ,<><>p-><>p\/p
T,p-><>p
Tᵈ,<>p->p
B,p->[]<>p
5,<>p->[]<>p
Lob,<>p-><>(p/\~<>p)
Grz,<>p-><>(p/\[](<>p->p))
.1,[]<>p-><>[]p
.2,<>([]p/\p)->[](<>p\/p)
.3,<>p/\<>q-><>(p/\q)\/<>(p/\<>q)\/<>(<>p/\q)
Alt₁,<>p/\<>q-><>(p/\q)
Alt₂,<>p/\<>q/\<>r-><>(p/\q)\/<>(q/\r)\/<>(p/\r)
Bd₁,<>[]p_1->p_1
Bd₂,<>([]p_2/\~Bd₁)->p_2
Bw₁,<>p/\<>q-><>(p/\(q\/<>q))\/<>(q/\(p\/<>p))
Bw₂,<>p_0/\<>p_1/\<>p_2->\\//_{0<=i!=j<=2}<>(p_i/\(p_j\/<>p_j))
